age,mass,luminosity,temperature,gravity,radius,Mv,Mr,Mi,Mj,Mh,Mk,Mll,Mm
0.5,0.009,-5.963,564,4.307,0.11,28.14,23.82,21.07,18.21,18.04,19.95,14.88,13.63
0.5,0.01,-5.864,599,4.358,0.11,27.91,23.53,20.77,17.8,17.66,19.22,14.59,13.43
0.5,0.012,-5.447,759,4.432,0.11,27.2,22.73,19.91,16.38,16.29,16.82,13.51,12.68
0.5,0.015,-5.404,791,4.557,0.107,27.11,22.63,19.81,16.2,16.16,16.58,13.41,12.6
0.5,0.02,-5.133,936,4.704,0.104,26.53,22.07,19.27,15.33,15.34,15.37,12.78,12.21
0.5,0.03,-4.636,1264,4.905,0.101,24.97,20.77,17.95,13.9,13.87,13.69,11.7,11.68
0.5,0.04,-4.255,1583,5.04,0.1,23.11,19.28,16.74,12.92,12.76,12.68,10.95,11.33
0.5,0.05,-3.955,1875,5.131,0.101,21.31,17.94,15.53,12.21,11.95,11.79,10.44,10.99
0.5,0.06,-3.729,2116,5.194,0.102,19.99,16.91,14.5,11.69,11.36,11.13,10.1,10.63
0.5,0.07,-3.534,2329,5.233,0.106,18.84,16.04,13.68,11.27,10.9,10.63,9.81,10.26
0.5,0.072,-3.498,2369,5.238,0.107,18.6,15.89,13.54,11.19,10.81,10.54,9.75,10.19
0.5,0.075,-3.445,2426,5.244,0.108,18.25,15.66,13.33,11.08,10.69,10.42,9.67,10.08
0.5,0.08,-3.356,2518,5.248,0.111,17.65,15.27,13,10.89,10.49,10.22,9.53,9.89
0.5,0.09,-3.189,2680,5.241,0.119,16.54,14.56,12.43,10.55,10.12,9.85,9.25,9.53
0.5,0.1,-3.047,2804,5.223,0.128,15.68,13.96,11.98,10.25,9.8,9.54,9,9.22
1,0.0005,-8.851,111,3.115,0.102,60.75,55.23,50.5,40.19,35.07,55.87,24.15,21.49
1,0.001,-8.185,160,3.386,0.106,54.15,49.1,44.69,35.58,32.06,49.17,22.4,19.95
1,0.002,-7.56,226,3.662,0.109,44.39,39.91,36.34,29.28,27.8,40.31,20.18,17.94
1,0.003,-7.244,270,3.827,0.111,37.64,33.6,30.73,25.29,24.99,34.51,18.84,16.66
1,0.004,-7.031,304,3.95,0.111,32.62,28.93,26.6,22.49,22.91,30.25,17.91,15.73
1,0.005,-6.831,342,4.051,0.11,31.58,27.79,25.36,21.71,21.98,28.28,17.38,15.36
1,0.006,-6.664,377,4.134,0.11,30.53,26.63,24.12,20.96,21.07,26.39,16.87,15.01
1,0.007,-6.556,403,4.208,0.109,29.77,25.79,23.26,20.41,20.43,25.04,16.54,14.76
