mass	age	temperature	gravity	luminosity	Mv	Mr	Mi	Mj	Mh	Mk	metallicity	cloud	y	l_mix
0.9	0.22187	5632	4.518	5.08	5.23	4.84	4.49	4.02	3.69	3.66	-0.5	nc	0.25	1
0.9	0.25356	5636	4.517	5.08	5.22	4.83	4.49	4.01	3.69	3.66	-0.5	nc	0.25	1
0.9	0.31694	5642	4.516	5.07	5.22	4.83	4.48	4.01	3.69	3.66	-0.5	nc	0.25	1
0.9	0.412	5645	4.514	5.06	5.21	4.82	4.47	4	3.68	3.65	-0.5	nc	0.25	1
0.9	0.50707	5648	4.512	5.05	5.2	4.81	4.47	3.99	3.67	3.64	-0.5	nc	0.25	1
0.9	0.63382	5649	4.509	5.05	5.19	4.8	4.46	3.99	3.67	3.64	-0.5	nc	0.25	1
0.9	0.82395	5653	4.505	5.03	5.18	4.79	4.45	3.97	3.66	3.63	-0.5	nc	0.25	1
0.9	1.01408	5658	4.501	5.02	5.17	4.78	4.44	3.96	3.65	3.62	-0.5	nc	0.25	1
0.9	1.26758	5666	4.496	5	5.15	4.76	4.42	3.95	3.63	3.6	-0.5	nc	0.25	1
0.9	1.61615	5677	4.489	4.98	5.12	4.73	4.4	3.93	3.61	3.58	-0.5	nc	0.25	1
0.9	1.99641	5689	4.482	4.95	5.09	4.71	4.37	3.9	3.59	3.56	-0.5	nc	0.25	1
0.9	2.5351	5704	4.47	4.91	5.05	4.66	4.33	3.87	3.56	3.53	-0.5	nc	0.25	1
0.9	3.16887	5724	4.456	4.86	4.99	4.61	4.28	3.82	3.52	3.49	-0.5	nc	0.25	1
0.9	3.99276	5749	4.435	4.78	4.92	4.54	4.21	3.76	3.46	3.43	-0.5	nc	0.25	1
0.9	5.03846	5781	4.405	4.69	4.81	4.44	4.12	3.67	3.37	3.35	-0.5	nc	0.25	1
0.9	6.33768	5822	4.358	4.54	4.66	4.3	3.98	3.54	3.25	3.22	-0.5	nc	0.25	1
0.9	7.95377	5864	4.279	4.31	4.43	4.07	3.76	3.33	3.04	3.01	-0.5	nc	0.25	1
0.9	10.0005	5838	4.117	3.92	4.04	3.68	3.37	2.93	2.64	2.61	-0.5	nc	0.25	1
1	0.002	4234	3.834	4.5	5.33	4.63	3.94	2.96	2.29	2.2	-0.5	nc	0.25	1
1	0.00254	4252	3.901	4.65	5.46	4.74	4.08	3.12	2.45	2.36	-0.5	nc	0.25	1
1	0.00318	4271	3.963	4.78	5.57	4.85	4.21	3.26	2.6	2.51	-0.5	nc	0.25	1
1	0.00399	4293	4.024	4.91	5.68	4.96	4.34	3.4	2.75	2.66	-0.5	nc	0.25	1
1	0.00508	4323	4.085	5.03	5.77	5.06	4.45	3.53	2.89	2.8	-0.5	nc	0.25	1
1	0.00636	4366	4.136	5.12	5.83	5.13	4.53	3.63	3	2.91	-0.5	nc	0.25	1
1	0.008	4436	4.18	5.16	5.81	5.13	4.56	3.69	3.08	3	-0.5	nc	0.25	1
1	0.01003	4554	4.213	5.13	5.7	5.05	4.52	3.69	3.11	3.04	-0.5	nc	0.25	1
1	0.0126	4782	4.232	4.96	5.37	4.8	4.33	3.61	3.11	3.05	-0.5	nc	0.25	1
1	0.01589	5132	4.221	4.63	4.89	4.41	4	3.39	2.97	2.93	-0.5	nc	0.25	1
1	0.01997	5657	4.214	4.19	4.33	3.95	3.61	3.13	2.81	2.78	-0.5	nc	0.25	1
1	0.02544	5998	4.406	4.41	4.52	4.18	3.88	3.48	3.21	3.19	-0.5	nc	0.25	1
1	0.03247	5955	4.462	4.59	4.7	4.35	4.05	3.64	3.36	3.34	-0.5	nc	0.25	1
1	0.04294	5946	4.46	4.59	4.7	4.36	4.05	3.64	3.36	3.34	-0.5	nc	0.25	1
1	0.05183	5946	4.458	4.58	4.7	4.35	4.04	3.63	3.35	3.33	-0.5	nc	0.25	1
1	0.06464	5954	4.456	4.57	4.68	4.34	4.03	3.62	3.35	3.32	-0.5	nc	0.25	1
1	0.08309	5966	4.455	4.56	4.67	4.33	4.02	3.61	3.34	3.32	-0.5	nc	0.25	1
1	0.10965	5980	4.453	4.55	4.66	4.31	4.01	3.6	3.33	3.31	-0.5	nc	0.25	1
1	0.12704	5985	4.453	4.54	4.65	4.31	4.01	3.6	3.33	3.31	-0.5	nc	0.25	1
1	0.17294	5987	4.452	4.54	4.65	4.31	4	3.6	3.33	3.31	-0.5	nc	0.25	1
1	0.20299	5990	4.45	4.53	4.64	4.3	4	3.59	3.33	3.3	-0.5	nc	0.25	1
1	0.26636	5995	4.448	4.52	4.63	4.29	3.99	3.59	3.32	3.3	-0.5	nc	0.25	1
1	0.32974	5999	4.446	4.51	4.62	4.28	3.98	3.58	3.31	3.29	-0.5	nc	0.25	1
1	0.4248	6003	4.443	4.5	4.61	4.27	3.97	3.57	3.3	3.28	-0.5	nc	0.25	1
1	0.51987	6006	4.44	4.49	4.6	4.26	3.96	3.56	3.3	3.27	-0.5	nc	0.25	1
1	0.64662	6008	4.436	4.48	4.59	4.25	3.95	3.55	3.28	3.26	-0.5	nc	0.25	1
1	0.80506	6010	4.431	4.47	4.58	4.24	3.94	3.54	3.27	3.25	-0.5	nc	0.25	1
1	1.02688	6016	4.424	4.45	4.55	4.22	3.92	3.52	3.25	3.23	-0.5	nc	0.25	1
1	1.28038	6024	4.417	4.42	4.53	4.19	3.9	3.5	3.23	3.21	-0.5	nc	0.25	1
1	1.59726	6035	4.407	4.39	4.5	4.16	3.87	3.47	3.21	3.18	-0.5	nc	0.25	1
1	2.00921	6051	4.393	4.34	4.45	4.12	3.82	3.43	3.17	3.15	-0.5	nc	0.25	1
1	2.51622	6070	4.375	4.29	4.39	4.06	3.77	3.38	3.12	3.1	-0.5	nc	0.25	1
1	3.18167	6097	4.35	4.2	4.31	3.98	3.69	3.3	3.05	3.03	-0.5	nc	0.25	1
1	4.00556	6129	4.313	4.09	4.19	3.87	3.58	3.2	2.95	2.93	-0.5	nc	0.25	1
1	5.01958	6160	4.253	3.92	4.01	3.69	3.42	3.04	2.79	2.77	-0.5	nc	0.25	1
1	6.32528	6126	4.139	3.66	3.75	3.43	3.15	2.77	2.51	2.5	-0.5	nc	0.25	1
