# Vega spectrum from Kurucz intensity models, resolution 500
# corrected to 10 pc distance assuming R = 2.5 Rsun
# flux units of erg/s/cm2/micron
Wavelength	Flux
0.887027	7.05698e-06
0.887916	7.92315e-06
0.888806	8.66973e-06
0.889697	9.10605e-06
0.890589	9.31613e-06
0.891482	9.40500e-06
0.892376	9.43732e-06
0.893270	9.45348e-06
0.894166	9.46964e-06
0.895062	9.43732e-06
0.895959	9.36460e-06
0.896858	9.24341e-06
0.897757	9.05757e-06
0.898657	8.75053e-06
0.899558	8.24150e-06
0.900460	7.43432e-06
0.901362	6.61421e-06
0.902266	6.68935e-06
0.903170	7.51916e-06
0.904076	8.21726e-06
0.904982	8.60509e-06
0.905889	8.75861e-06
0.906798	8.84749e-06
0.907707	8.92021e-06
0.908617	8.91213e-06
0.909527	8.89597e-06
0.910439	8.92021e-06
0.911352	8.92021e-06
0.912266	8.92021e-06
0.913180	8.91213e-06
0.914096	8.88789e-06
0.915012	8.84749e-06
0.915929	8.79093e-06
0.916848	8.71013e-06
0.917767	8.59701e-06
0.918687	8.45965e-06
0.919608	8.24150e-06
0.920530	7.86255e-06
0.921452	7.22828e-06
0.922376	6.40090e-06
0.923301	6.05185e-06
0.924227	6.61905e-06
0.925153	7.33897e-06
0.926081	7.73812e-06
0.927009	7.99264e-06
0.927938	8.21726e-06
0.928868	8.30614e-06
0.929800	8.33846e-06
0.930732	8.34654e-06
0.931665	8.33846e-06
0.932599	8.32230e-06
0.933534	8.30614e-06
0.934470	8.28998e-06
0.935407	8.26574e-06
0.936344	8.24150e-06
0.937283	8.21726e-06
0.938223	8.17686e-06
0.939163	8.12030e-06
0.940105	8.06293e-06
0.941047	8.01122e-06
0.941990	8.01930e-06
0.942935	8.02172e-06
0.943880	7.99587e-06
0.944826	7.96274e-06
0.945774	7.92396e-06
0.946722	7.87790e-06
0.947671	7.82457e-06
0.948621	7.75428e-06
0.949572	7.66055e-06
0.950524	7.51996e-06
0.951477	7.29696e-06
0.952430	6.92690e-06
0.953385	6.32091e-06
0.954341	5.62846e-06
0.955298	5.57352e-06
0.956255	6.20536e-06
0.957214	6.78308e-06
0.958174	7.11516e-06
0.959134	7.28726e-06
0.960096	7.36241e-06
0.961058	7.39472e-06
0.962022	7.39472e-06
0.962986	7.38988e-06
0.963952	7.40200e-06
0.964918	7.39311e-06
0.965885	7.35352e-06
0.966854	7.34948e-06
0.967823	7.35109e-06
0.968793	7.33251e-06
0.969764	7.31231e-06
0.970737	7.29373e-06
0.971710	7.27110e-06
0.972684	7.24605e-06
0.973659	7.21939e-06
0.974635	7.19515e-06
0.975612	7.17334e-06
0.976590	7.15071e-06
0.977569	7.12566e-06
0.978549	7.10062e-06
0.979530	7.07638e-06
0.980512	7.05133e-06
0.981495	7.02467e-06
0.982479	6.99639e-06
0.983464	6.97295e-06
0.984450	6.94791e-06
0.985437	6.91478e-06
0.986425	6.88892e-06
0.987414	6.87115e-06
0.988404	6.83721e-06
0.989394	6.79762e-06
0.990386	6.78631e-06
0.991379	6.76934e-06
0.992373	6.73944e-06
0.993368	6.70551e-06
0.994364	6.67965e-06
0.995361	6.65299e-06
