mass,age,luminosity,temperature,gravity,radius,metallicity
0.0012,0.013304544,-5.902,525,3.2504,0.1352,0.5
0.00122,0.011402498,-5.813,550,3.2504,0.1365,0.5
0.00125,0.009817479,-5.728,575,3.2504,0.1378,0.5
0.00127,0.008570378,-5.646,600,3.2504,0.139,0.5
0.00131,0.006683439,-5.492,650,3.2504,0.1414,0.5
0.00136,0.005308844,-5.349,700,3.2504,0.1438,0.5
0.0014,0.004345102,-5.214,750,3.2504,0.1462,0.5
0.00145,0.003614099,-5.088,800,3.2504,0.1486,0.5
0.0015,0.003083188,-4.969,850,3.2504,0.151,0.5
0.00155,0.002624219,-4.856,900,3.2504,0.1535,0.5
0.0016,0.002228435,-4.747,950,3.2504,0.1561,0.5
0.00166,0.001923092,-4.643,1000,3.2504,0.1588,0.5
0.00178,0.001482518,-4.447,1100,3.2504,0.1645,0.5
0.00192,0.001193988,-4.263,1200,3.2504,0.1709,0.5
0.00207,0.000977237,-4.091,1300,3.2504,0.1774,0.5
0.00225,0.000796159,-3.925,1400,3.2504,0.1852,0.5
0.00249,0.000682339,-3.761,1500,3.2504,0.1948,0.5
0.00274,0.000583445,-3.608,1600,3.2504,0.2043,0.5
0.00299,0.000505825,-3.465,1700,3.2504,0.2132,0.5
0.00329,0.000439542,-3.324,1800,3.2504,0.2238,0.5
0.00372,0.000401791,-3.176,1900,3.2504,0.238,0.5
0.00422,0.000358922,-3.033,2000,3.2504,0.2535,0.5
0.00138,1.137627286,-7.768,200,3.4997,0.1087,0.5
0.00144,0.778036551,-7.545,225,3.4997,0.1111,0.5
0.0015,0.544502653,-7.343,250,3.4997,0.1135,0.5
0.00156,0.378442585,-7.16,275,3.4997,0.1157,0.5
0.00162,0.264850014,-6.993,300,3.4997,0.1179,0.5
0.00168,0.185353162,-6.839,325,3.4997,0.12,0.5
0.00173,0.130316678,-6.696,350,3.4997,0.122,0.5
0.00178,0.097274722,-6.565,375,3.4997,0.1235,0.5
0.00181,0.076736149,-6.445,400,3.4997,0.1247,0.5
0.00184,0.063679552,-6.332,425,3.4997,0.1258,0.5
0.00187,0.053088444,-6.226,450,3.4997,0.1268,0.5
0.00191,0.044463127,-6.124,475,3.4997,0.1279,0.5
0.00194,0.03758374,-6.028,500,3.4997,0.1289,0.5
0.00197,0.032210688,-5.936,525,3.4997,0.13,0.5
0.002,0.027861212,-5.849,550,3.4997,0.131,0.5
0.00203,0.02421029,-5.765,575,3.4997,0.132,0.5
0.00206,0.021183611,-5.685,600,3.4997,0.133,0.5
0.00212,0.016672472,-5.533,650,3.4997,0.1349,0.5
0.00218,0.013273945,-5.392,700,3.4997,0.1369,0.5
0.00225,0.010715193,-5.259,750,3.4997,0.1389,0.5
0.00232,0.008810489,-5.134,800,3.4997,0.141,0.5
0.00239,0.007379042,-5.015,850,3.4997,0.1432,0.5
0.00246,0.006251727,-4.903,900,3.4997,0.1453,0.5
0.00253,0.005432503,-4.797,950,3.4997,0.1474,0.5
0.00261,0.00476431,-4.695,1000,3.4997,0.1495,0.5
0.00276,0.00374973,-4.504,1100,3.4997,0.154,0.5
0.00295,0.003026913,-4.325,1200,3.4997,0.1591,0.5
0.00317,0.002477422,-4.154,1300,3.4997,0.165,0.5
0.00343,0.002084491,-3.991,1400,3.4997,0.1716,0.5
0.00375,0.001782379,-3.833,1500,3.4997,0.1793,0.5
0.00413,0.001552387,-3.679,1600,3.4997,0.1881,0.5
0.00459,0.001367729,-3.528,1700,3.4997,0.1984,0.5
0.00516,0.001216186,-3.378,1800,3.4997,0.2104,0.5
0.00579,0.001093956,-3.234,1900,3.4997,0.2229,0.5
0.00645,0.000981748,-3.098,2000,3.4997,0.2353,0.5
0.0024,2.760577856,-7.777,200,3.7497,0.1076,0.5
0.00249,1.90107828,-7.556,225,3.7497,0.1096,0.5
0.00258,1.312199899,-7.357,250,3.7497,0.1116,0.5
0.00268,0.90782053,-7.177,275,3.7497,0.1136,0.5
0.00277,0.632411851,-7.011,300,3.7497,0.1155,0.5
0.00285,0.44874539,-6.859,325,3.7497,0.1172,0.5
0.00293,0.322849412,-6.719,350,3.7497,0.1188,0.5
0.00299,0.244906324,-6.59,375,3.7497,0.1201,0.5
0.00304,0.194536008,-6.47,400,3.7497,0.1211,0.5
0.00309,0.159220873,-6.358,425,3.7497,0.1221,0.5
