#
# Generated by G. Mace, Wed Jul 25 15:03:13 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   2.2715983    1.1398E+00    2.7040E-02
   2.2745852    1.1836E+00    2.6922E-02
   2.2775669    1.1669E+00    2.6574E-02
   2.2805433    1.1724E+00    2.5631E-02
   2.2835147    1.1474E+00    2.5573E-02
   2.2864807    1.1722E+00    2.5902E-02
   2.2894416    1.0934E+00    2.6028E-02
   2.2923973    1.0399E+00    2.7794E-02
   2.2953477    9.7964E-01    2.7557E-02
   2.2982931    1.0182E+00    2.8039E-02
   2.3012333    9.7411E-01    2.7282E-02
   2.3041682    9.7878E-01    2.6645E-02
   2.3070979    9.7583E-01    2.5806E-02
   2.3100226    1.0313E+00    2.6026E-02
   2.3129423    9.8291E-01    2.7256E-02
   2.3158567    1.0043E+00    2.8602E-02
   2.3187659    9.4308E-01    2.9003E-02
   2.3216703    9.2653E-01    2.8321E-02
   2.3245695    9.2494E-01    2.7506E-02
   2.3274636    9.1864E-01    2.7597E-02
   2.3303528    9.7593E-01    2.7602E-02
   2.3332369    9.5749E-01    2.8290E-02
   2.3361163    9.3194E-01    2.9375E-02
   2.3389907    9.9104E-01    3.0090E-02
   2.3418601    9.5889E-01    3.0774E-02
   2.3447249    9.8146E-01    3.2205E-02
   2.3475847    9.6490E-01    3.3233E-02
   2.3504398    9.4258E-01    3.3670E-02
   2.3532901    9.7594E-01    3.3438E-02
   2.3561358    9.6194E-01    3.2939E-02
   2.3589771    9.2981E-01    3.2479E-02
   2.3618138    9.6535E-01    3.5462E-02
   2.3646457    9.7437E-01    3.8422E-02
   2.3674736    9.3074E-01    3.8354E-02
   2.3702970    1.0267E+00    3.7972E-02
   2.3731160    9.6651E-01    3.6923E-02
   2.3759308    9.4474E-01    3.5140E-02
   2.3787415    9.4541E-01    3.5540E-02
   2.3815482    9.0460E-01    3.6424E-02
   2.3843508    9.2344E-01    3.6859E-02
   2.3871496    9.7035E-01    3.7193E-02
   2.3899446    9.7249E-01    3.6783E-02
   2.3927360    9.3463E-01    3.6130E-02
   2.3955235    9.7271E-01    3.5582E-02
   2.3983078    9.8594E-01    3.5412E-02
   2.4010887    9.9894E-01    3.7068E-02
   2.4038661    8.7309E-01    3.8267E-02
   2.4066405    9.2462E-01    3.9327E-02
   2.4094119    9.6286E-01    4.0680E-02
