#
# Generated by G. Mace, Thu Mar  1 20:10:26 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   2.3118875    4.0227E-03    9.4713E-03
   2.3148038    2.2253E-02    9.9153E-03
   2.3177149    9.9306E-03    1.0666E-02
   2.3206210    1.8466E-02    1.1015E-02
   2.3235221    1.4792E-02    1.0776E-02
   2.3264182   -6.5197E-03    1.0416E-02
   2.3293090    1.1956E-02    1.0305E-02
   2.3321950   -1.3264E-02    1.0458E-02
   2.3350761    1.0373E-02    1.0510E-02
   2.3379524   -1.2666E-03    1.0947E-02
   2.3408234    2.0364E-03    1.1505E-02
   2.3436899   -2.7839E-03    1.2255E-02
   2.3465514   -5.6227E-03    1.2477E-02
   2.3494084   -1.8199E-03    1.3252E-02
   2.3522604    2.3587E-02    1.4123E-02
   2.3551078    2.0347E-02    1.3049E-02
   2.3579507   -1.6907E-02    1.2764E-02
   2.3607888   -1.0855E-02    1.2781E-02
   2.3636227    2.0065E-02    1.2486E-02
   2.3664520    1.3734E-02    1.1899E-02
   2.3692770    2.3577E-02    1.3243E-02
   2.3720975    2.7169E-02    1.4204E-02
   2.3749139    3.0580E-02    1.4153E-02
   2.3777261    2.2386E-02    1.3981E-02
   2.3805342    1.6790E-02    1.3104E-02
   2.3833382   -3.7653E-02    1.3117E-02
   2.3861384    2.1569E-02    1.3190E-02
   2.3889349    1.2852E-02    1.3311E-02
   2.3917274   -1.3313E-03    1.3252E-02
   2.3945165   -2.1888E-02    1.3323E-02
   2.3973019    2.3579E-02    1.2980E-02
   2.4000838    1.0246E-02    1.2902E-02
   2.4028625    1.3796E-02    1.3014E-02
   2.4056380    2.9361E-03    1.3422E-02
   2.4084105    3.2565E-02    1.3750E-02
   2.4111800    1.8896E-02    1.3831E-02
   2.4139466    1.0054E-02    1.4541E-02
   2.4167106    1.2910E-02    1.5519E-02
   2.4194720   -2.2980E-02    1.5737E-02
   2.4222310   -5.5798E-03    1.5245E-02
   2.4249878    3.9337E-03    1.4087E-02
   2.4277425    3.6061E-02    1.4283E-02
   2.4304953    2.9196E-02    1.4797E-02
   2.4332461    5.4234E-03    1.6917E-02
   2.4359956    1.3053E-02    1.7937E-02
   2.4387436    1.0180E-02    1.6963E-02
   2.4414902    1.1593E-02    1.5602E-02
   2.4442360    2.6883E-02    1.6265E-02
   2.4469810    1.2875E-02    1.8841E-02
   2.4497252    2.9381E-02    1.9967E-02
   2.4524689    2.4991E-02    1.9099E-02
   2.4552126    2.4831E-02    1.7370E-02
   2.4579563   -2.7184E-02    1.5484E-02
   2.4607000    3.0664E-02    1.6047E-02
   2.4634445    2.0551E-02    1.6424E-02
   2.4661896    1.7403E-02    1.7112E-02
   2.4689357    2.0790E-02    1.8603E-02
   2.4716833    9.6051E-03    2.0509E-02
   2.4744322    1.1699E-02    2.0942E-02
   2.4771829    3.7879E-03    2.1400E-02
