# SpeX prism spectrum of 2101+1756 obtained 2005 Sep 07 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# -------------------------------------------------------------------------
      2.12517    3.46405e-17    4.97213e-19
      2.12839    3.27194e-17    7.91775e-19
      2.13160    3.21749e-17    5.34962e-19
      2.13481    3.40539e-17    6.58834e-19
      2.13801    3.26969e-17    1.02953e-18
      2.14121    3.35627e-17    5.33969e-19
      2.14441    3.27713e-17    5.35836e-19
      2.14760    3.27323e-17    1.95948e-18
      2.15079    3.19233e-17    1.22642e-18
      2.15397    3.45697e-17    1.20444e-18
      2.15714    3.25983e-17    8.14333e-19
      2.16032    3.25346e-17    6.29256e-19
      2.16348    3.41100e-17    4.38450e-19
      2.16665    3.38507e-17    9.48334e-19
      2.16980    3.27943e-17    9.17304e-19
      2.17296    3.31378e-17    4.67030e-19
      2.17610    3.23648e-17    8.00072e-19
      2.17925    3.30542e-17    2.35610e-19
      2.18239    3.39836e-17    9.17232e-19
      2.18552    3.30468e-17    6.91614e-19
      2.18865    3.20575e-17    3.14635e-19
      2.19177    3.28596e-17    9.20607e-19
      2.19489    3.23778e-17    1.61719e-18
      2.19801    3.12476e-17    1.26913e-18
      2.20112    3.22386e-17    8.82623e-19
      2.20422    3.00793e-17    7.32949e-19
      2.20732    3.10773e-17    8.44660e-19
      2.21041    3.19314e-17    5.35925e-19
      2.21350    3.35582e-17    1.57092e-18
      2.21659    3.13681e-17    8.51142e-19
      2.21967    3.01135e-17    7.10261e-19
      2.22274    2.99528e-17    8.89259e-19
      2.22581    3.12482e-17    6.60825e-19
      2.22888    3.19181e-17    5.32001e-19
      2.23194    3.04196e-17    6.66673e-19
      2.23499    2.76809e-17    1.08682e-18
      2.23804    3.01343e-17    1.13377e-18
      2.24108    3.18874e-17    7.22235e-19
      2.24412    3.10657e-17    1.20498e-18
      2.24716    3.11994e-17    1.03379e-18
      2.25019    2.99621e-17    5.81755e-19
      2.25321    2.92715e-17    8.87302e-19
      2.25623    2.78858e-17    1.01941e-18
      2.25924    3.01813e-17    5.15869e-19
      2.26225    2.90884e-17    4.05999e-19
      2.26525    2.82893e-17    5.03221e-19
      2.26825    2.91779e-17    1.44940e-18
      2.27124    2.83175e-17    9.73692e-19
      2.27423    2.97059e-17    5.38805e-19
      2.27721    2.93704e-17    7.55715e-19
      2.28019    2.81486e-17    7.43105e-19
      2.28316    2.87941e-17    1.25123e-18
      2.28613    2.76481e-17    9.86837e-19
      2.28909    2.79315e-17    1.12489e-18
      2.29205    2.64870e-17    1.12441e-18
      2.29500    2.45269e-17    8.81078e-19
      2.29794    2.40081e-17    3.30931e-19
      2.30088    2.17410e-17    6.36656e-19
      2.30382    2.30523e-17    4.10213e-19
      2.30675    2.52786e-17    1.40083e-18
      2.30968    2.50518e-17    1.68070e-18
      2.31260    2.29342e-17    5.47011e-19
      2.31551    2.29376e-17    8.06744e-19
      2.31842    2.22072e-17    6.61978e-19
      2.32133    2.22851e-17    9.33241e-19
      2.32423    2.31225e-17    1.19016e-18
      2.32712    2.04425e-17    5.99091e-19
      2.33001    2.08100e-17    1.10420e-18
      2.33290    2.39662e-17    3.70605e-19
      2.33577    2.28608e-17    1.36233e-19
      2.33865    2.18835e-17    1.09839e-18
      2.34152    2.32595e-17    5.57660e-19
      2.34439    2.38372e-17    7.47781e-19
      2.34725    2.50391e-17    9.72061e-19
      2.35010    2.23503e-17    3.47579e-18
      2.35295    2.40706e-17    6.85505e-19
      2.35580    2.27083e-17    1.84908e-18
      2.35864    2.10161e-17    7.97407e-19
      2.36148    2.33886e-17    8.51729e-19
      2.36431    2.26599e-17    1.23579e-18
      2.36714    2.55268e-17    1.40210e-18
      2.36996    2.39576e-17    1.09520e-18
      2.37278    2.13738e-17    9.70328e-19
      2.37560    2.28292e-17    1.58508e-18
      2.37841    2.16752e-17    9.95959e-19
      2.38122    2.16570e-17    1.49835e-18
      2.38402    2.33820e-17    9.59816e-19
      2.38682    2.37682e-17    5.76233e-19
      2.38961    2.08847e-17    7.65375e-19
      2.39241    2.27215e-17    1.82780e-18
      2.39519    2.23515e-17    1.36659e-18
      2.39798    2.40687e-17    7.14658e-19
      2.40076    2.24462e-17    1.51260e-18
      2.40354    2.53437e-17    1.60025e-18
      2.40631    2.28307e-17    5.47944e-19
      2.40908    2.15598e-17    1.34390e-18
      2.41185    2.26588e-17    1.66124e-18
      2.41462    2.41888e-17    1.05549e-18
      2.41738    2.24939e-17    2.17030e-18
      2.42014    2.15846e-17    1.19023e-18
      2.42290    1.96758e-17    8.29151e-19
      2.42566    1.87192e-17    2.04673e-18
      2.42841    2.54958e-17    1.83424e-18
      2.43116    2.03408e-17    1.36334e-18
      2.43391    1.89213e-17    1.91044e-18
      2.43666    2.13450e-17    1.48169e-18
      2.43941    2.15702e-17    1.04958e-18
      2.44216    2.26020e-17    2.46746e-18
      2.44490    1.89182e-17    1.51285e-18
      2.44765    2.11445e-17    1.22103e-18
      2.45039    1.98734e-17    1.55719e-18
      2.45314    1.99425e-17    1.86449e-18
      2.45588    2.12534e-17    1.48599e-18
      2.45862    2.13713e-17    1.81421e-18
      2.46137    1.96852e-17    1.37435e-18
