# SpeX prism spectrum of denis2252-1730 obtained 10 Aug 2005 by Adam J Burgasser
# Spectrum in F_lambda normalized to prism observations
# Contact A. Burgasser for use or reproduction of this spectrum
# Wavelength (um)    Flux (normalized F_lambda)    S/N
# -------------------------------------------------------------------------
      1.62034    4.09369e-16    3.47619e-18
      1.62433    4.07457e-16    1.40560e-18
      1.62832    3.97756e-16    3.98015e-18
      1.63229    3.97265e-16    1.55508e-18
      1.63627    4.02273e-16    3.09392e-18
      1.64023    4.08604e-16    1.74187e-18
      1.64419    4.13774e-16    5.97693e-19
      1.64814    4.20290e-16    1.47468e-18
      1.65208    4.23225e-16    2.61015e-18
      1.65602    4.21622e-16    1.35708e-18
      1.65995    4.19291e-16    1.94429e-18
      1.66388    4.12644e-16    2.66516e-18
      1.66779    4.05139e-16    2.26472e-18
      1.67171    3.96601e-16    1.59554e-18
      1.67561    4.00385e-16    1.94273e-18
      1.67951    4.05005e-16    2.01384e-18
      1.68340    4.07020e-16    1.65372e-18
      1.68729    4.07080e-16    3.57784e-18
      1.69116    4.05522e-16    2.28465e-18
      1.69504    4.00997e-16    2.15703e-18
      1.69890    3.96777e-16    3.03708e-18
      1.70276    3.94705e-16    1.64236e-18
      1.70661    3.88447e-16    1.71773e-18
      1.71046    3.82095e-16    3.02832e-18
      1.71430    3.72353e-16    8.86004e-19
      1.71813    3.65545e-16    2.05517e-18
      1.72196    3.51656e-16    1.66458e-18
      1.72578    3.48161e-16    1.11809e-18
      1.72959    3.40082e-16    1.26415e-18
      1.73340    3.28356e-16    1.78339e-18
      1.73720    3.19276e-16    2.76603e-18
      1.74100    3.04638e-16    2.13737e-18
      1.74478    3.03269e-16    9.85007e-19
      1.74857    2.90779e-16    2.73536e-18
      1.75234    2.80155e-16    1.56768e-18
      1.75611    2.70338e-16    1.21546e-18
      1.75987    2.65094e-16    1.71495e-18
      1.76363    2.55981e-16    2.46485e-18
      1.76738    2.43152e-16    2.06335e-18
      1.77112    2.37931e-16    1.88820e-18
      1.77486    2.28504e-16    1.14440e-18
      1.77859    2.20672e-16    1.81720e-18
      1.78232    2.14997e-16    1.02553e-18
      1.78604    2.12106e-16    1.38417e-18
      1.78975    2.03266e-16    3.19963e-18
      1.79345    2.06769e-16    1.88814e-18
      1.79716    2.02664e-16    2.80309e-18
      1.80085    1.99735e-16    3.43711e-18
      1.80454    1.91412e-16    3.19395e-18
      1.80822    1.93785e-16    1.90463e-18
      1.81190    1.97219e-16    2.82175e-18
      1.81557    1.95860e-16    4.30590e-18
      1.81923    1.94986e-16    7.86794e-18
      1.82289    2.04597e-16    5.23426e-18
      1.82654    2.05297e-16    9.81628e-18
      1.83019    2.00343e-16    1.39806e-17
      1.83383    1.75356e-16    8.56436e-18
      1.83747    1.68298e-16    1.45256e-17
      1.84110    1.64628e-16    6.31255e-18
      1.84472    1.62819e-16    1.01164e-17
      1.84834    1.72378e-16    6.39816e-18
      1.85195    1.70055e-16    9.93070e-18
      1.85556    1.60439e-16    1.06145e-17
      1.85916    1.50056e-16    9.96791e-18
      1.86276    1.50175e-16    1.86857e-18
      1.86635    1.56468e-16    4.55491e-18
      1.86993    1.35018e-16    1.14280e-17
      1.87351    1.45444e-16    5.44202e-18
      1.87708    1.64955e-16    5.42696e-18
      1.88065    1.70844e-16    5.91629e-18
      1.88421    1.80736e-16    3.15864e-18
      1.88777    1.74721e-16    1.98507e-18
      1.89132    1.83442e-16    1.86977e-18
      1.89487    1.84293e-16    5.14614e-18
      1.89841    1.95492e-16    1.10912e-17
      1.90195    1.94161e-16    1.25133e-17
      1.90548    1.96802e-16    4.01352e-18
      1.90900    1.94780e-16    4.96377e-18
      1.91252    2.09189e-16    5.19114e-18
      1.91604    1.98184e-16    4.30969e-18
      1.91955    2.11919e-16    6.60741e-18
      1.92305    2.00623e-16    3.49789e-18
      1.92655    1.91548e-16    3.71260e-18
      1.93005    1.87648e-16    4.58541e-18
      1.93353    1.78055e-16    1.47927e-18
      1.93702    1.68899e-16    3.05278e-18
      1.94050    1.58963e-16    3.01300e-18
      1.94397    1.63143e-16    1.18664e-18
      1.94744    1.61898e-16    1.75600e-18
      1.95091    1.64265e-16    2.52248e-18
      1.95437    1.64433e-16    1.72336e-18
      1.95782    1.58109e-16    1.38086e-18
      1.96127    1.66266e-16    1.72367e-18
      1.96471    1.65666e-16    2.83642e-18
      1.96815    1.65446e-16    2.65104e-18
      1.97159    1.66869e-16    1.43798e-18
      1.97502    1.66624e-16    3.22808e-18
      1.97845    1.67342e-16    1.26884e-18
      1.98187    1.67661e-16    1.83530e-18
      1.98528    1.64310e-16    1.69580e-18
      1.98869    1.65018e-16    1.40242e-18
      1.99210    1.67512e-16    1.73588e-18
      1.99550    1.73655e-16    2.89156e-18
      1.99890    1.75736e-16    4.74219e-18
      2.00229    1.72196e-16    2.54372e-18
      2.00568    1.67238e-16    3.04188e-18
      2.00906    1.73758e-16    1.39429e-18
      2.01244    1.81915e-16    1.49396e-18
      2.01582    1.80325e-16    3.69298e-18
      2.01918    1.93081e-16    4.41689e-18
      2.02255    1.91396e-16    2.38359e-18
      2.02591    1.95720e-16    1.17245e-18
      2.02926    1.93509e-16    1.66798e-18
      2.03262    1.96459e-16    1.40326e-18
      2.03596    2.00262e-16    1.23816e-18
      2.03930    2.00615e-16    1.64100e-18
      2.04264    2.04721e-16    1.25832e-18
      2.04597    2.06007e-16    1.93735e-18
      2.04930    2.08863e-16    2.88884e-18
      2.05263    2.13386e-16    2.65882e-18
      2.05595    2.18233e-16    1.25966e-18
      2.05926    2.23230e-16    3.06159e-18
      2.06257    2.23898e-16    9.70884e-19
      2.06588    2.25277e-16    1.90362e-18
      2.06918    2.22763e-16    1.34102e-18
      2.07247    2.22673e-16    9.75427e-19
      2.07577    2.27605e-16    1.08897e-18
      2.07905    2.29723e-16    1.71760e-18
      2.08234    2.28255e-16    1.14836e-18
      2.08561    2.33364e-16    1.67115e-18
      2.08889    2.34960e-16    2.83799e-18
      2.09216    2.38676e-16    1.40311e-18
      2.09542    2.37641e-16    2.06603e-18
      2.09868    2.38367e-16    1.69641e-18
      2.10194    2.42337e-16    2.93843e-18
      2.10519    2.42791e-16    1.94365e-18
      2.10844    2.41899e-16    1.40565e-18
      2.11168    2.45258e-16    2.60828e-18
      2.11492    2.42269e-16    1.08596e-18
      2.11815    2.43685e-16    1.91384e-18
      2.12138    2.45537e-16    2.26345e-18
      2.12460    2.47876e-16    1.61005e-18
      2.12782    2.46600e-16    2.06449e-18
      2.13104    2.44293e-16    1.63129e-18
      2.13425    2.45513e-16    1.98972e-18
      2.13745    2.45906e-16    2.37850e-18
      2.14065    2.42615e-16    1.50353e-18
      2.14385    2.45592e-16    1.32080e-18
      2.14704    2.43202e-16    1.87625e-18
      2.15023    2.44219e-16    1.80003e-18
      2.15341    2.40923e-16    2.04102e-18
      2.15659    2.42252e-16    1.35813e-18
      2.15976    2.40011e-16    1.79974e-18
      2.16293    2.38203e-16    1.47907e-18
      2.16609    2.34761e-16    1.84669e-18
      2.16925    2.39243e-16    1.93772e-18
      2.17240    2.37688e-16    2.30965e-18
      2.17555    2.37264e-16    1.70054e-18
      2.17870    2.33045e-16    1.93888e-18
      2.18184    2.37828e-16    1.00258e-18
      2.18497    2.32567e-16    1.19863e-18
      2.18810    2.29463e-16    1.57069e-18
      2.19123    2.28508e-16    1.27086e-18
      2.19435    2.26593e-16    2.10181e-18
      2.19746    2.23764e-16    2.08584e-18
      2.20057    2.17712e-16    2.19835e-18
      2.20368    2.14550e-16    1.45560e-18
      2.20678    2.14400e-16    2.44227e-18
      2.20987    2.13512e-16    2.25036e-18
      2.21296    2.12667e-16    9.35542e-19
      2.21605    2.10218e-16    9.38884e-19
      2.21913    2.12240e-16    1.68648e-18
      2.22220    2.08633e-16    1.45191e-18
      2.22527    2.10672e-16    2.05291e-18
      2.22834    2.10507e-16    2.20313e-18
      2.23140    2.08922e-16    1.99246e-18
      2.23446    2.06728e-16    2.36080e-18
      2.23751    2.06818e-16    1.89009e-18
      2.24055    2.03882e-16    2.19003e-18
      2.24359    2.02071e-16    1.63663e-18
      2.24663    2.01067e-16    2.77225e-18
      2.24966    2.01159e-16    1.70840e-18
      2.25268    1.97423e-16    2.30311e-18
      2.25570    1.96677e-16    2.38703e-18
      2.25871    1.98128e-16    1.64351e-18
      2.26172    1.95726e-16    1.82429e-18
      2.26473    1.92073e-16    2.78823e-18
      2.26773    1.94233e-16    1.85869e-18
      2.27072    1.94156e-16    1.89076e-18
      2.27371    1.91529e-16    2.74346e-18
      2.27669    1.92024e-16    1.68211e-18
      2.27967    1.88861e-16    2.42504e-18
      2.28264    1.90120e-16    1.71079e-18
      2.28561    1.88770e-16    2.74552e-18
      2.28857    1.85663e-16    2.52278e-18
      2.29153    1.78411e-16    2.06532e-18
      2.29448    1.64085e-16    1.90046e-18
      2.29743    1.53046e-16    1.44760e-18
      2.30037    1.50125e-16    1.23082e-18
