# sdss 13:58:52.84 37:47:09.4  T4.5+/-1 Chiu et al. 2006
# IRTF Spex 2005-04-08
#XUNITS  = 'Microns '           /
#YUNITS  = 'W m-2 um-1'         /
# fluxed by UFTI JHK, good match after
# revising K photometry
#
2.32715 -2.1267792e-18 2.334e-17
2.33004 1.2326912e-17 1.62794e-17
2.33293 1.441856e-17 8.32679e-18
2.33581 1.7216992e-17 9.75984e-18
2.33868 3.5984208e-17 4.65443e-19
2.34155 2.1721024e-17 8.86095e-18
2.34442 2.5132328e-17 5.74321e-19
2.34728 2.66266e-17 4.39052e-18
2.35013 2.3154456e-17 1.10654e-19
2.35298 3.5272224e-17 1.92778e-17
2.35583 6.5718744e-17 1.68575e-17
2.35867 5.7607368e-18 2.64767e-17
2.36151 1.6310632e-17 3.0917e-18
2.36434 1.908452e-17 2.17759e-17
2.36717 2.7014832e-17 2.65984e-18
2.36999 1.6153592e-17 9.57573e-19
2.37281 4.8475336e-17 2.71591e-17
2.37563 2.769e-17 6.66314e-18
2.37844 3.369704e-17 1.12121e-17
2.38125 2.5446304e-17 9.60537e-18
2.38405 2.417012e-17 5.15112e-18
2.38685 1.3198952e-17 1.51737e-17
2.38964 4.4447e-17 1.88411e-18
2.39244 3.4150168e-17 2.09674e-17
2.39522 -1.4432496e-18 9.60027e-18
2.39801 3.0855344e-17 1.80235e-17
2.40079 3.2691464e-17 6.65011e-18
2.40357 2.313064e-17 1.30692e-17
2.40634 3.8382552e-17 4.32109e-18
2.40911 2.9099408e-17 6.97868e-18
2.41188 3.9099944e-17 5.28164e-17
2.41465 2.8094768e-17 2.51164e-17
2.41741 -5.098652e-18 1.28139e-17
2.42017 1.8589688e-17 8.00882e-18
2.42293 3.3886944e-17 4.89413e-18
2.42569 1.4161888e-18 4.59351e-18
2.42844 5.3271192e-17 1.58723e-17
2.43119 2.0955584e-17 2.74847e-17
2.43394 5.4417688e-17 4.17105e-17
2.43669 3.654248e-17 6.33069e-18
2.43944 3.2909968e-17 6.8445e-18
2.44219 2.952248e-17 2.77542e-18
2.44493 1.618188e-17 2.60061e-18
2.44768 4.1912104e-17 1.28515e-18
2.45042 1.5864888e-17 5.33183e-17
2.45317 2.6674024e-17 2.84976e-17
2.45591 6.01666e-17 2.83159e-17
2.45865 1.5587624e-17 5.30777e-18
2.4614 3.665688e-17 2.1582e-18
2.46414 6.3405472e-17 3.97984e-17
2.46689 4.5315816e-17 2.51264e-17
2.46963 8.7386e-17 1.6323e-17
2.47238 1.8589896e-17 4.13977e-17
