mass,age,temperature,luminosity,radius,gravity,metallicity
0.009,0.001,2318.1438868,-2.80648087,0.24541532,3.61285595,0.0
0.009,0.00126638017,2282.64039932,-2.88995764,0.22991469,3.66952592,0.0
0.009,0.00160371874,2239.5628154,-2.97890871,0.21559544,3.72537989,0.0
0.009,0.00203091762,2195.94141211,-3.06600836,0.2028554,3.77828562,0.0
0.009,0.00257191381,2132.76553089,-3.16840681,0.19113454,3.82997853,0.0
0.009,0.00325702066,2063.5016606,-3.27383571,0.18083945,3.87807155,0.0
0.009,0.00412462638,1989.74503806,-3.38213253,0.17169932,3.92312089,0.0
0.009,0.00522334507,1907.27978557,-3.49786017,0.163556,3.96532495,0.0
0.009,0.00661474064,1818.59898373,-3.6202049,0.15626267,4.00494819,0.0
0.009,0.0083767764,1718.60461805,-3.75459746,0.14989454,4.04108688,0.0
0.009,0.0106081836,1620.57573488,-3.88834305,0.14451746,4.07281785,0.0
0.009,0.0134339933,1529.6288032,-4.01790936,0.13973066,4.10207337,0.0
0.009,0.0170125428,1403.29986246,-4.19414144,0.13553454,4.12855692,0.0
0.009,0.0215443469,1312.31804447,-4.33271515,0.1321292,4.15066011,0.0
0.009,0.0272833338,1219.61373887,-4.47975233,0.12915587,4.17042863,0.0
0.009,0.0345510729,1131.24448032,-4.62794596,0.12657544,4.1879582,0.0
0.009,0.0437547938,1051.70560826,-4.77011938,0.12433551,4.20346699,0.0
0.009,0.0554102033,980.35305637,-4.90595949,0.122372,4.2172929,0.0
0.009,0.0701703829,917.52523277,-5.03353752,0.12062251,4.22980061,0.0
0.009,0.0888623816,854.42645782,-5.16877365,0.11904364,4.24124479,0.0
0.009,0.112533558,792.21444695,-5.31046399,0.11762864,4.25163067,0.0
0.009,0.142510267,738.14248928,-5.44273942,0.11635714,4.26107108,0.0
0.009,0.180472177,689.96505602,-5.56858472,0.11521067,4.26967162,0.0
0.009,0.228546386,649.95838402,-5.6804428,0.11414145,4.27776998,0.0
0.009,0.289426612,610.97419572,-5.79562011,0.11312695,4.28552473,0.0
0.009,0.366524124,573.00180672,-5.91462298,0.11215453,4.29302333,0.0
0.009,0.464158883,537.46639067,-6.03304307,0.11122641,4.30024106,0.0
0.009,0.587801607,506.0199381,-6.1448102,0.11033054,4.3072653,0.0
0.009,0.744380301,474.49893877,-6.26327993,0.10947548,4.31402301,0.0
0.009,0.942668455,444.09447344,-6.38475551,0.10866749,4.32045751,0.0
0.009,1.19377664,416.57411533,-6.50211039,0.1078919,4.32667913,0.0
0.009,1.51177507,390.82168691,-6.61892342,0.10715338,4.33264504,0.0
0.009,1.91448198,367.63685337,-6.73099176,0.10643617,4.33847825,0.0
0.009,2.42446202,346.53767716,-6.83930058,0.10574709,4.3441199,0.0
0.009,3.07029063,331.72561559,-6.92095825,0.10504641,4.34989429,0.0
0.009,3.88815518,315.00434319,-7.01675771,0.10433198,4.35582181,0.0
0.009,4.92388263,297.85537191,-7.11987028,0.10362679,4.36171263,0.0
0.009,6.23550734,283.55142984,-7.211262,0.10292509,4.36761427,0.0
0.009,7.89652287,268.51276643,-7.31186884,0.10222462,4.37354571,0.0
0.009,10.0,252.94816523,-7.42141167,0.10154377,4.37935018,0.0
0.01,0.001,2373.79937116,-2.73116221,0.25524582,3.62449777,0.0
0.01,0.00126638017,2342.61730649,-2.81151807,0.23893149,3.6818687,0.0
0.01,0.00160371874,2305.051126,-2.89624198,0.22384583,3.73851728,0.0
0.01,0.00203091762,2260.75983521,-2.98545302,0.20998425,3.79404101,0.0
0.01,0.00257191381,2218.1152753,-3.07104019,0.19766745,3.84654627,0.0
0.01,0.00325702066,2156.49352801,-3.17189849,0.18619985,3.89845782,0.0
0.01,0.00412462638,2081.97557525,-3.28079579,0.1762291,3.94626095,0.0
0.01,0.00522334507,2008.04793593,-3.38823656,0.16740553,3.99087636,0.0
