mass,age,temperature,luminosity,radius,gravity,metallicity,enrichment
0.06776152492360495,0.002126,2998.725,-1.714023,0.5149534830751155,3.8455147982157336,-0.15,-0.05
0.06776152492360495,0.0024,3001.799,-1.746044,0.49529962594585947,3.8793147982157334,-0.15,-0.05
0.06776152492360495,0.0027047,3004.541,-1.778123,0.4764704812662717,3.9129787982157334,-0.15,-0.05
0.06776152492360495,0.0030436,3007.106,-1.810182,0.45842152335079317,3.9465207982157335,-0.15,-0.05
0.06776152492360495,0.0034204,3009.503,-1.842199,0.4411273652626879,3.9799227982157337,-0.15,-0.05
0.06776152492360495,0.0038395,3014.177,-1.872869,0.42450323088641534,4.013288798215734,-0.15,-0.05
0.06776152492360495,0.0043053,3021.561,-1.902018,0.4084895962131549,4.046688798215734,-0.15,-0.05
0.06776152492360495,0.0048212,3027.761,-1.931707,0.3931479360075215,4.079938798215734,-0.15,-0.05
0.06776152492360495,0.0053921,3032.865,-1.961807,0.37848092809459755,4.112962798215733,-0.15,-0.05
0.06776152492360495,0.0060247,3036.977,-1.99226,0.36445171648665964,4.145770798215733,-0.15,-0.05
0.06776152492360495,0.006727,3040.205,-2.023015,0.3510265777207768,4.178370798215734,-0.15,-0.05
0.06776152492360495,0.0075077,3042.57,-2.054077,0.33816838232630964,4.210784798215734,-0.15,-0.05
0.06776152492360495,0.0083767,3044.147,-2.085414,0.3258479551973179,4.243020798215733,-0.15,-0.05
0.06776152492360495,0.0093448,3045.011,-2.116991,0.31403640714362385,4.275090798215734,-0.15,-0.05
0.06776152492360495,0.010425,3045.165,-2.148831,0.30270249457673215,4.307018798215734,-0.15,-0.05
0.06776152492360495,0.011631,3044.583,-2.180976,0.2918166046224625,4.338830798215733,-0.15,-0.05
0.06776152492360495,0.01298,3043.227,-2.213454,0.2813565305559223,4.370536798215734,-0.15,-0.05
0.06776152492360495,0.014488,3041.008,-2.246324,0.2713038770110603,4.402138798215733,-0.15,-0.05
0.06776152492360495,0.016176,3037.987,-2.27958,0.2616320836711808,4.4336687982157335,-0.15,-0.05
0.06776152492360495,0.018068,3034.247,-2.313209,0.2523172833222864,4.465156798215733,-0.15,-0.05
